"Run 1: Time (s)","Run 1: Conductivity (µS/cm)","Run 1: Temperature (°C)"
0,3150.43945312,38.4560953646
1,3144.43359375,38.4312430071
2,3137.32910156,38.5073740994
3,3127.80761719,38.6084598426
4,3119.45800781,38.7096554348
5,3111.10839844,38.8374758359
6,3102.75878906,38.9639126659
7,3094.40917969,39.0655016025
8,3086.05957031,39.2439499754
9,3075.36621094,39.4227559781
10,3063.50097656,39.5767565594
11,3053.90625,39.7830400322
12,3042.04101562,40.0135272473
13,3030.10253906,40.2969675819
14,3016.9921875,40.505011856
15,3000.36621094,40.7374981172
16,2986.01074219,40.9210890813
17,2974.14550781,41.1291320897
18,2962.20703125,41.3650379385
19,2949.09667969,41.5484737415
20,2939.57519531,41.7581844169
21,2930.05371094,41.9425560354
22,2916.94335938,42.1809596281
23,2905.078125,42.3924237261
24,2891.96777344,42.6044903441
25,2880.02929688,42.8188078305
26,2866.91894531,43.0058272607
27,2852.63671875,43.2460536362
28,2843.11523438,43.4622893106
29,2831.17675781,43.6775305737
30,2818.06640625,43.8950996293
31,2805.02929688,44.1116856468
32,2790.67382812,44.302179214
33,2778.80859375,44.5200621565
34,2768.04199219,44.7942542189
35,2757.34863281,44.9866929724
36,2746.65527344,45.2085237286
37,2733.54492188,45.4294071511
38,2722.77832031,45.6800856001
39,2706.15234375,45.902592431
40,2695.38574219,46.1258802155
41,2682.27539062,46.379323624
42,2671.58203125,46.6337997485
43,2660.88867188,46.8318713867
44,2648.95019531,47.0026555739
45,2639.42871094,47.2299467433
46,2626.31835938,47.4580948947
47,2610.86425781,47.6888787246
48,2596.58203125,47.9187887261
49,2582.2265625,48.1495972866
50,2570.36132812,48.3831047271
51,2556.07910156,48.61576065
52,2546.484375,48.8493587745
53,2534.61914062,49.0857221176
54,2522.68066406,49.3212574258
55,2510.81542969,49.528616387
56,2500.04882812,49.7367457948
57,2486.93847656,49.9162881086
58,2477.41699219,50.1258790876
59,2466.72363281,50.3066942167
60,2459.54589844,50.4881089761
61,2451.19628906,50.7296989157
62,2442.91992188,50.9125369446
63,2432.15332031,51.1260118811
64,2423.80371094,51.3403433164
65,2413.11035156,51.5858171198
66,2402.41699219,51.8020228021
67,2391.65039062,52.0191237624
68,2384.54589844,52.3311206501
69,2376.19628906,52.5504506088
70,2366.67480469,52.803649166
71,2357.15332031,52.9938887559
72,2347.63183594,53.182891056
73,2336.86523438,53.4059243359
74,2327.34375,53.6949883292
75,2320.23925781,53.8886306343
76,2314.23339844,54.0830302274
77,2307.12890625,54.2762012185
78,2299.95117188,54.4721360853
79,2292.84667969,54.636685273
80,2286.84082031,54.8663742205
81,2280.90820312,55.0626697332
82,2273.73046875,55.3616762414
83,2267.79785156,55.6625549315
84,2258.27636719,55.8641986502
85,2248.75488281,56.0646307062
86,2237.98828125,56.3700065359
87,2228.46679688,56.6417285833
88,2222.53417969,56.8476135049
89,2216.6015625,57.0882634555
90,2213.01269531,57.2961412944
91,2207.08007812,57.5733509998
92,2201.07421875,57.7834362147
93,2195.14160156,58.02904219
94,2190.38085938,58.2412416974
95,2186.79199219,58.4893428153
96,2180.859375,58.6314167018
97,2172.50976562,58.8112907746
98,2165.33203125,59.0250043929
99,2159.39941406,59.2064701187
100,2153.46679688,59.4243183456
101,2145.1171875,59.6410021374
102,2137.93945312,59.8970270419
103,2129.66308594,60.0821103385
104,2122.48535156,60.3043368426
105,2114.13574219,60.5254140472
106,2103.44238281,60.7866798748
107,2092.67578125,61.0518422154
108,2083.15429688,61.2395905779
109,2074.8046875,61.4304945521
110,2065.28320312,61.6574219835
111,2057.00683594,61.8879181572
112,2048.65722656,62.1576246005
113,2042.65136719,62.4290557285
114,2034.375,62.7431310896
115,2028.36914062,62.9772099285
116,2020.01953125,63.2150361775
117,2014.08691406,63.4150785712
118,2005.73730469,63.6136284805
119,1997.38769531,63.8551243857
120,1990.28320312,64.0557960154
121,1981.93359375,64.2998943195
122,1973.58398438,64.5454480447
123,1966.47949219,64.7495201453
124,1958.12988281,64.9571530022
125,1947.36328125,65.2066927613
126,1939.08691406,65.4141058862
127,1933.08105469,65.7078282209
