"Run 1: Time (s)","Run 1: Conductivity (µS/cm)","Run 1: Temperature (°C)"
0,3570.84960938,30.2669304869
1,3573.26660156,30.2201433807
2,3575.61035156,30.2201433807
3,3573.26660156,30.2435358469
4,3575.61035156,30.2435358469
5,3575.61035156,30.2435358469
6,3575.61035156,30.2435358469
7,3578.02734375,30.2435358469
8,3578.02734375,30.2435358469
9,3578.02734375,30.2669304869
10,3578.02734375,30.2917896866
11,3578.02734375,30.2917896866
12,3579.19921875,30.2917896866
13,3579.19921875,30.3151888464
14,3579.19921875,30.3151888464
15,3578.02734375,30.3385902153
16,3580.44433594,30.3634566031
17,3578.02734375,30.4102707705
18,3578.02734375,30.4336812324
19,3578.02734375,30.4819724842
20,3575.61035156,30.5053899268
21,3573.26660156,30.5536956881
22,3569.67773438,30.6254407145
23,3567.33398438,30.6723065471
24,3560.15625,30.7689975648
25,3552.97851562,30.9111794325
26,3541.11328125,31.0783975904
27,3530.34667969,31.2457470646
28,3514.89257812,31.3662048148
29,3502.95410156,31.5823279044
30,3488.671875,31.8458225472
31,3473.21777344,32.0624892589
32,3454.17480469,32.2306949673
33,3438.64746094,32.4227047623
34,3414.84375,32.5424500891
35,3399.38964844,32.6149298511
36,3383.86230469,32.7362931591
37,3369.58007812,32.8562646314
38,3355.29785156,32.9778081393
39,3344.60449219,33.1217055374
40,3335.00976562,33.243454375
41,3325.48828125,33.4366696136
42,3311.20605469,33.7046118292
43,3301.68457031,33.9715574016
44,3290.99121094,34.1418311303
45,3282.64160156,34.33626019
46,3273.12011719,34.5804416491
47,3262.35351562,34.6779406586
48,3251.66015625,34.9227617857
49,3238.54980469,35.1198624709
50,3223.09570312,35.3655477174
51,3206.39648438,35.6359239984
52,3188.52539062,35.88267098
53,3174.24316406,36.154247051
54,3156.37207031,36.351890732
55,3140.91796875,36.5011165418
56,3125.390625,36.6749622322
57,3106.34765625,36.9484985436
58,3090.89355469,37.2242801942
59,3071.77734375,37.5993014493
60,3052.734375,38.1273286104
61,3037.28027344,38.5322466066
62,3015.8203125,38.7860145736
63,2995.60546875,39.0655016025
64,2976.48925781,39.3725283899
65,2962.20703125,39.601925251
66,2947.92480469,39.7830400322
67,2934.81445312,39.9108363866
68,2919.36035156,40.2208674886
69,2905.078125,40.4779842405
70,2891.96777344,40.7119879094
71,2880.02929688,40.9466652664
72,2868.09082031,41.3120181203
73,2856.22558594,41.6258392161
74,2845.45898438,41.9684684024
75,2833.59375,42.2605952023
76,2824.07226562,42.4722852429
77,2814.55078125,42.8188078305
78,2803.78417969,43.1390042235
79,2791.91894531,43.3549144957
80,2776.39160156,43.4887450501
81,2760.9375,43.6510037044
82,2747.82714844,43.8136391635
83,2731.12792969,43.9749906446
84,2719.26269531,44.1934993726
85,2704.90722656,44.3574216226
86,2695.38574219,44.5754829743
87,2683.52050781,44.8499027904
88,2671.58203125,45.0695802501
89,2657.29980469,45.4021809933
90,2643.01757812,45.791242166
91,2629.90722656,46.1826867253
92,2616.796875,46.5211477468
93,2604.85839844,46.7466572949
