"Run 1: Time (s)","Run 1: Conductivity (µS/cm)","Run 1: Temperature (°C)"
0,3762.67089844,28.5335848662
1,3762.67089844,28.485603718
2,3762.67089844,28.485603718
3,3762.67089844,28.5103205754
4,3763.84277344,28.485603718
5,3762.67089844,28.5103205754
6,3762.67089844,28.5335848662
7,3760.25390625,28.5103205754
8,3760.25390625,28.5335848662
9,3760.25390625,28.5335848662
10,3760.25390625,28.5335848662
11,3761.42578125,28.5335848662
12,3759.08203125,28.5568504934
13,3759.08203125,28.5801174683
14,3759.08203125,28.5568504934
15,3759.08203125,28.5801174683
16,3759.08203125,28.6281099091
17,3759.08203125,28.6281099091
18,3759.08203125,28.6761082311
19,3759.08203125,28.6513810822
20,3759.08203125,28.6761082311
21,3757.91015625,28.6993822914
22,3757.91015625,28.7473895297
23,3754.32128906,28.8172292076
24,3754.32128906,28.9132805006
25,3753.14941406,28.9598600959
26,3750.73242188,29.0311971053
27,3747.14355469,29.1506107066
28,3741.2109375,29.2205312127
29,3734.03320312,29.3633326333
30,3724.51171875,29.600995294
31,3710.22949219,29.9585849102
32,3700.70800781,30.1002906803
33,3691.18652344,30.2201433807
34,3681.66503906,30.3151888464
35,3672.14355469,30.5302734831
36,3662.62207031,30.9361073077
37,3651.85546875,31.5573220014
38,3638.74511719,32.0138274963
39,3620.87402344,32.2056015745
40,3601.83105469,32.4714797178
41,3583.95996094,32.6149298511
42,3567.33398438,32.6400832341
43,3554.22363281,32.6637604831
44,3541.11328125,32.7836787331
45,3529.17480469,32.9051673935
46,3512.54882812,33.1706905017
47,3495.84960938,33.4128759417
48,3479.15039062,33.582488806
49,3457.69042969,33.7284526633
50,3433.88671875,33.8745640329
51,3408.91113281,34.1657459458
52,3386.27929688,34.532468745
53,3369.58007812,34.9483223146
54,3357.64160156,35.2916396561
55,3344.60449219,35.7100448336
56,3332.66601562,35.9812134114
57,3320.72753906,36.2287025412
58,3305.2734375,36.4767393158
59,3288.57421875,36.8750790486
60,3270.703125,37.1736654847
61,3249.24316406,37.3993229382
62,3226.61132812,37.8259131306
63,3206.39648438,38.330347495
64,3186.18164062,38.5571257238
65,3168.31054688,38.7345820829
66,3150.43945312,38.8109618873
67,3131.32324219,38.9389235932
68,3112.28027344,39.0655016025
69,3097.99804688,39.2439499754
70,3084.88769531,39.3474252902
71,3071.77734375,39.4745831586
72,3058.66699219,39.6538586486
73,3047.97363281,39.8855775688
74,3033.69140625,40.1163423581
75,3022.99804688,40.4271326862
76,3003.88183594,40.8939232803
77,2982.49511719,41.3377202373
78,2966.96777344,41.5484737415
79,2947.92480469,41.7048962508
80,2933.64257812,41.8891395872
81,2916.94335938,42.232956962
82,2902.66113281,42.5244861607
83,2889.55078125,42.7909601581
84,2872.8515625,43.193332373
85,2852.63671875,43.5433413725
86,2833.59375,43.8136391635
87,2810.96191406,44.0033075564
88,2788.33007812,44.3842220146
89,2771.63085938,44.7403363557
90,2756.17675781,44.9866929724
91,2746.65527344,45.4294071511
92,2737.13378906,45.8460364561
93,2724.0234375,46.0708439398
94,2703.73535156,46.2947286497
95,2687.03613281,46.5211477468
96,2672.75390625,46.7466572949
97,2658.47167969,47.0864795242
98,2643.01757812,47.343912851
99,2627.49023438,47.4580948947
100,2610.86425781,47.602450618
101,2598.92578125,47.8904439061
102,2586.98730469,48.2956527991
103,2575.12207031,48.7324410057
104,2564.35546875,49.0857221176
105,2547.72949219,49.470333044
106,2528.68652344,49.8557650827
107,2509.5703125,50.1258790876
108,2494.11621094,50.456595767
109,2482.17773438,50.8807756123
110,2471.484375,51.2481126739
111,2466.72363281,51.5858171198
112,2463.13476562,51.8647751866
113,2452.44140625,52.0821376803
114,2435.7421875,52.3637686381
115,2419.04296875,52.6778598736
116,2404.76074219,52.8986801523
117,2394.06738281,53.2160879375
118,2385.71777344,53.5355020033
119,2372.60742188,53.9520243261
120,2358.32519531,54.1466732492
121,2338.11035156,54.3101339913
122,2327.34375,54.5382905936
123,2320.23925781,54.7997738293
124,2314.23339844,55.0626697332
125,2307.12890625,55.3290411579
126,2301.12304688,55.6276625467
127,2298.77929688,55.8641986502
128,2292.84667969,56.0998454513
129,2288.01269531,56.3366722449
130,2279.73632812,56.4722401024
131,2268.96972656,56.6417285833
132,2257.10449219,56.9508980666
133,2242.82226562,57.2260371993
134,2229.71191406,57.6097253871
135,2221.36230469,57.957809572
136,2215.35644531,58.3477149155
137,2210.59570312,58.8816815503
138,2201.07421875,59.0979445546
139,2187.96386719,59.3152607787
140,2177.27050781,59.4599870919
141,2167.74902344,59.5694015413
142,2158.22753906,59.7149619354
143,2148.70605469,59.8970270419
144,2136.76757812,60.1930826129
145,2129.66308594,60.5642752721
146,2118.89648438,60.9386612403
147,2110.546875,61.2024396059
148,2105.78613281,61.5426383206
149,2095.09277344,61.9256687276
150,2085.57128906,62.3121747599
151,2077.22167969,62.5079539394
152,2066.52832031,62.663792149
153,2049.82910156,62.7816523542
154,2033.12988281,63.0959541927
155,2024.78027344,63.2539936525
156,2012.91503906,63.4150785712
157,2004.56542969,63.734200765
158,1995.04394531,64.1378312123
159,1986.69433594,64.6259477885
160,1985.52246094,65.2475794873
161,1984.35058594,65.5813181644
162,1981.93359375,65.834735178
163,1980.76171875,66.0453988289
164,1972.41210938,66.1315414291
165,1962.890625,66.217868813
166,1950.95214844,66.301757617
